




Analysis Type:	PANTHER Overrepresentation Test (Released 20230705)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.7942786 Released 2023-05-10
Analyzed List:	go-genelist-py-elastic.csv (Homo sapiens)go-genelist-r.csv (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	NONE
GO biological process complete	Homo sapiens - REFLIST (20589)	go-genelist-py-elastic.csv (79)	go-genelist-py-elastic.csv (expected)	go-genelist-py-elastic.csv (over/under)	go-genelist-py-elastic.csv (fold Enrichment)	go-genelist-py-elastic.csv (raw P-value)	go-genelist-r.csv (142)	go-genelist-r.csv (expected)	go-genelist-r.csv (over/under)	go-genelist-r.csv (fold Enrichment)	go-genelist-r.csv (raw P-value)
regulation of plasminogen activation (GO:0010755)	18	0	.07	-	 < 0.01	1.00E00	2	.12	+	16.11	8.16E-03
negative regulation of cGMP-mediated signaling (GO:0010754)	6	0	.02	-	 < 0.01	1.00E00	1	.04	+	24.17	4.70E-02
negative regulation of nitric oxide mediated signal transduction (GO:0010751)	3	0	.01	-	 < 0.01	1.00E00	1	.02	+	48.33	2.71E-02
carbohydrate catabolic process (GO:0016052)	112	0	.43	-	 < 0.01	1.00E00	3	.77	+	3.88	4.46E-02
negative regulation of long-chain fatty acid import across plasma membrane (GO:0010748)	4	0	.02	-	 < 0.01	1.00E00	1	.03	+	36.25	3.38E-02
regulation of long-chain fatty acid import across plasma membrane (GO:0010746)	6	0	.02	-	 < 0.01	1.00E00	1	.04	+	24.17	4.70E-02
skeletal muscle myosin thick filament assembly (GO:0030241)	3	0	.01	-	 < 0.01	1.00E00	1	.02	+	48.33	2.71E-02
ectodermal cell differentiation (GO:0010668)	5	0	.02	-	 < 0.01	1.00E00	1	.03	+	29.00	4.04E-02
dermatan sulfate catabolic process (GO:0030209)	4	0	.02	-	 < 0.01	1.00E00	1	.03	+	36.25	3.38E-02
chondroitin sulfate catabolic process (GO:0030207)	4	0	.02	-	 < 0.01	1.00E00	1	.03	+	36.25	3.38E-02
negative regulation of transcription by transcription factor localization (GO:0010621)	4	0	.02	-	 < 0.01	1.00E00	1	.03	+	36.25	3.38E-02
regulation of sprouting angiogenesis (GO:1903670)	37	0	.14	-	 < 0.01	1.00E00	2	.26	+	7.84	2.93E-02
regulation of cell differentiation involved in embryonic placenta development (GO:0060800)	4	0	.02	-	 < 0.01	1.00E00	1	.03	+	36.25	3.38E-02
neurotransmitter metabolic process (GO:0042133)	28	0	.11	-	 < 0.01	1.00E00	2	.19	+	10.36	1.79E-02
negative regulation of protein localization to cilium (GO:1903565)	3	0	.01	-	 < 0.01	1.00E00	1	.02	+	48.33	2.71E-02
nitrogen utilization (GO:0019740)	2	0	.01	-	 < 0.01	1.00E00	1	.01	+	72.50	2.04E-02
liposaccharide metabolic process (GO:1903509)	108	0	.41	-	 < 0.01	1.00E00	4	.74	+	5.37	7.41E-03
negative regulation of mesenchymal to epithelial transition involved in metanephros morphogenesis (GO:0003340)	2	0	.01	-	 < 0.01	1.00E00	1	.01	+	72.50	2.04E-02
cardiac muscle hypertrophy (GO:0003300)	30	0	.12	-	 < 0.01	1.00E00	2	.21	+	9.67	2.02E-02
striated muscle hypertrophy (GO:0014897)	31	0	.12	-	 < 0.01	1.00E00	2	.21	+	9.35	2.14E-02
muscle hypertrophy (GO:0014896)	33	0	.13	-	 < 0.01	1.00E00	2	.23	+	8.79	2.39E-02
ammonia assimilation cycle (GO:0019676)	2	0	.01	-	 < 0.01	1.00E00	1	.01	+	72.50	2.04E-02
courtship behavior (GO:0007619)	3	0	.01	-	 < 0.01	1.00E00	1	.02	+	48.33	2.71E-02
left ventricular cardiac muscle tissue morphogenesis (GO:0003220)	4	0	.02	-	 < 0.01	1.00E00	1	.03	+	36.25	3.38E-02
L-kynurenine catabolic process (GO:0097053)	4	0	.02	-	 < 0.01	1.00E00	1	.03	+	36.25	3.38E-02
type B pancreatic cell apoptotic process (GO:0097050)	3	0	.01	-	 < 0.01	1.00E00	1	.02	+	48.33	2.71E-02
male courtship behavior (GO:0008049)	1	0	.00	-	 < 0.01	1.00E00	1	.01	+	 > 100	1.37E-02
tolerance induction to lipopolysaccharide (GO:0072573)	2	0	.01	-	 < 0.01	1.00E00	1	.01	+	72.50	2.04E-02
L-methionine salvage from methylthioadenosine (GO:0019509)	5	0	.02	-	 < 0.01	1.00E00	1	.03	+	29.00	4.04E-02
pyridine-containing compound biosynthetic process (GO:0072525)	31	0	.12	-	 < 0.01	1.00E00	2	.21	+	9.35	2.14E-02
